id,session,identifier,title,jurisdiction_id,media_type,url,note
d139727a-57b9-40d6-828e-ef77a59ce991,87,HB 305,Relating to the composition of the student body of an open-enrollment charter school.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB00305I.HTM,Introduced
d139727a-57b9-40d6-828e-ef77a59ce991,87,HB 305,Relating to the composition of the student body of an open-enrollment charter school.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00305I.PDF,Introduced
3c665dba-aa70-4199-bd8e-e46350ede4c7,87,HB 1586,Relating to specialty prescription drug coverage.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB01586I.HTM,Introduced
3c665dba-aa70-4199-bd8e-e46350ede4c7,87,HB 1586,Relating to specialty prescription drug coverage.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB01586I.PDF,Introduced
7857fd10-d6d2-4454-8b37-49f12065caa8,87,HB 1072,Relating to the licensing and regulation of lactation consultants and the creation of the Lactation Consultant Advisory Board; requiring an occupational license; imposing fees; providing penalties; creating a criminal offense.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB01072I.HTM,Introduced
7857fd10-d6d2-4454-8b37-49f12065caa8,87,HB 1072,Relating to the licensing and regulation of lactation consultants and the creation of the Lactation Consultant Advisory Board; requiring an occupational license; imposing fees; providing penalties; creating a criminal offense.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB01072I.PDF,Introduced
cd75d3b1-ceef-4fa4-bbfa-4e39b5d38752,87,HB 181,Relating to the employment of full-time registered nurses at public schools.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB00181I.HTM,Introduced
cd75d3b1-ceef-4fa4-bbfa-4e39b5d38752,87,HB 181,Relating to the employment of full-time registered nurses at public schools.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00181I.PDF,Introduced
6fcf7893-540b-4ecc-b3a4-e5b3c5a83b04,87,HB 1350,Relating to the publication of certain information regarding certain disciplinary appeals filed by police officers.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB01350I.HTM,Introduced
6fcf7893-540b-4ecc-b3a4-e5b3c5a83b04,87,HB 1350,Relating to the publication of certain information regarding certain disciplinary appeals filed by police officers.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB01350I.PDF,Introduced
